commit,message,files_changed,message_length
b7445b3092298a7f81c1833e79325d5dd8ae668c,main,1,1
29c16ab186438ee5c1e0b84109f86f846bf3af6d,Di1,4,1
452f15c9ff8f0009439ad3af322bb85bb56539b8,dc2,5,1
c30b27aed419b8109771f707a93da524c1a25d65,DC1,6,1
71e81758f0c9b750234b36e4479baf219628cecc,Finalize DC0 submission,1,3
f1b0aa54dcbcfa60f78217b231151ae6c484876c,Add DC0 scaffold files,16,4
3f2eafbe87ae30f0758ae107dc0eaed4d976e91b,Initial commit,1,2
9635257c1b557acc81f95b1e974a54c752e703a2,[DevTools] Preserve -Infinity in inspected values (#36347),6,7
4f273bd36493cd3e818a15a5da5f82ba6af7f812,fix(devtools): clear highlight when mouse leaves DevTools panel (#36177),1,9
f4e0d4ed0cb44f5f106579d20824f49ec41247f3,[enableInfiniteRenderLoopDetection] Add a flag to force throwing (#36357),11,8
ad5dfc82b7107728da1430dd142f75b97b684dac,Add react-flight-server-fb package for Meta's internal bundler (#36309),24,8
561ed529b3a6a16e5b2b76fa5ee86c09f959686c,Fix formatting (#36332),1,3
142cfde89edab3d4eabd6335458b4c8736cebfb6,Fix FragmentInstance listener leak: normalize boolean vs object capture options per DOM spec (#36047),2,14
94643c3b8516928e4cc7fad99912272670a0a990,Suggest correct casing for misspelled credentialless iframe attribute (#36322),2,9
306a01b4e0242e9379ba971c8925670651f16818,Add credentialless as a recognized boolean attribute for iframes (#36148),5,10
3ee1fe4a8ead714cee51be09f64ecd3a81df1acb,Fix contributor attribution for ESLint v10 support,1,7
1ddff43c41147b880c22eb363e07aade5a71c5d9,Add null check before calling fabricSuspendOnActiveViewTransition (#36310),1,7
d1727fbf987392749b374f3afe62227d2c70fc41,[eprh] Update changelog for 7.1.1 (#36308),2,6
bc249804d3c2ea6ee95bc5543c3735a65d1239b5,[eprh] Add back a no-op for removed component-hook-factories rule (#36307),2,10
da9325b519376e2d65cdf6d509ade053e14ec5b3,[Fiber] Double invoke Effects in StrictMode after Fast Refresh (#35962),2,10
67e47593b607ecc08ac59361d8aba7ad2eef028a,[Fiber] Double invoke Effects in Strict Mode during Hydration (#35961),5,10
23fcd7cea1ec553f9b217bc148e8d94e2d0097bd,Minify prod error messages for all browser bundles (#36277),2,9
bf45a68dd35ed08860b6a70fed641dfe6d7d290d,Remove legacy Paper renderer shim cleanup from artifact commit workflow (#36297),1,11
77319e2af0f9adf4269fc209879c351a8d71da21,[eprh] Update changelog for 7.1.0 (#36292),1,6
4b073f4887f48aabf040ac56b980160b801c8099,[Fizz] add additional task reentrancy protections (#36291),1,7
f6fe4275c7ec869e20a4b91f70df88cdc14d5161,Wire up createViewTransitionInstance and suspendOnActiveViewTransition in Fabric (#36196),3,8
fe5160140d79ea023a9db6fbb914ed6c6b6ae0dd,Wire up startViewTransitionReadyFinished in Fabric (#36246),2,6
ea6792026ff7bc4c9c663fd09149cc523490cb1a,[Fizz] prevent reentrant finishedTask from calling completeAll multiple times (#36287),3,10
56922cf751fab6c7ab4c12ddbbd15839959fa255,[react-native-renderer] Delete Paper (legacy) renderer (#36285),35,6
00f063c31d60308f8e4e0fd349b89ed043b9ea54,[test] Make `enableSuspenseyImages` dynamic (#36274),2,5
0418c8a8b61a2328fd8e9105a6f49093ee91b436,[RN] Move new event dispatching pipeline to RN (#36266),5,9
568244232e29a0d4524544344aa280917580e8f7,[react-native-renderer] EventTarget-based event dispatching (#36253),10,5
fef12a01c826ce5b8458e82240c659bf51108a46,fix: explicitly warn for infinite loops discovered only via enableInfiniteRenderLoopDetection (#36195),3,11
705268dcd16779b1f51f234cebaa588d761202ce,Fix require('ReactFeatureFlags') in eslint-plugin-react-hooks www build (#36243),3,7
733d3aaf99e30627ec25174da9d39efbaa97dba3,Fix FB_WWW eprh bundle dev guard (#36238),3,7
404b38c764cf86e6f2ec42f873bb33ce114256d3,[Flight] Add more cycle protections (#36236),1,6
808e7ed8e26c07dc15c088105673b639760477f9,[compiler] Fix set-state-in-effect false negative with NewExpression default param (#36107),3,10
0c44b96e97c595198f30bdbe0f637f92ed74ed95,[DevTools] Remove spurious warnings when creating Suspense timeline from a Transition (#36133),1,12
1b45e2439289fd8e094c44161c89e06c5488671e,Add Flight SSR benchmark fixture (#36180),39,6
80b1cab397764f83efb9828563a259c8052ded0c,"Fix typos: occured->occurred, teh->the, accomodate->accommodate (#35616)",1,6
044d56f3906809b749056059362396fb6b2872ec,docs: fix typos and improve abbreviation usage in DESIGN_GOALS.md (#36170),1,10
2c2fd9d12c7159efef81e7ea6ec899943cf7ca33,[compiler][playground] parse compiler configs using json5 (#36159),7,7
74568e8627aa43469b74f2972f427a209639d0b6,[Flight] Transport `AggregateErrors.errors` (#36156),10,4
9627b5a1caa64c1488643bffdf04495106fa3247,[Fiber] Fix context propagation into Suspense fallbacks (#36160),2,8
f944b4c5352be02623d2d7415c0806350f875114,Fix typos in comments (#35701),3,5
677818e4a2261e318bb9c0bd0c5c8ba05fcd1880,Fix typos in tests and comments (#35627),6,7
2233b7d7281fea5beec815cf5af9593d2b80f68d,"Fix typos: explicitlyu->explicitly, intialized->initialized (#35621)",3,5
ba833da405d44260e94bd47c13eec90816bf44f1,Fix typo: accomodate -> accommodate (#35623),1,6
3cb2c42013eda273ac449126ab9fcc115a09d39d,Add ReactFeatureFlags support to eprh (#35951),15,6
c0c29e89066df60c8340d4e853d38b5843c165ab,Fix typos in the documentation (#35439),2,6
c0d218f0f3e02ed581f74096e56baa947213135d,Fix useDeferredValue getting stuck (#36134),3,5
ed69815cebae33b0326cc69faa90f813bb924f3b,[DevTools] feat: display subtree for Activity and dim in hidden mode (#36094),9,12
8b2e903a7447d370eb77bb117bc4c0ae240ce831,[DevTools] chore: extract getInternalReactConstants (#35986),2,5
6a04c369f1b182c6b1d8153f173653c8d59a5965,Enables Basic View Transition support for React Native Fabric renderer (#35764),16,11
d594643e5e5b662f064c584018ab3773754c792d,Turn on enableViewTransition for RN FB build (#36106),3,8
b4546cd0d4db2b913d8e7503bee86e1844073b2e,"[enableInfiniteRenderLoopDetection] Warn about potential infinite loop, instead of interrupting (#35999)",2,10
3f0b9e61c467cd6e09cac6fb69f6e8f68cd3c5d7,Update CSS shorthand property list (#35636),1,6
12ba7d81297abac61012a36f20d4a9d22b9210d9,[Flight Reply] Early bailout if backing entry for Blob deserialization is not a Blob (#36055),3,15
c80a07509582daadf275f36ffe7a88c3b12e9db4,Fix focus set for delegated and already focused elements (#36010),2,10
8f4150605449efe909822d8b20fe529d85851afe,[DevTools] fix: don't show empty suspended by section (#36011),1,9
5e9eedb57843dc161defdf93ed457ab7d982e324,[Flight] Clear chunk reason after successful module initialization (#36024),3,9
1e3152365df2f7a23a5ad947e83f40914413be16,Enable Fragment Ref flags across builds (#36026),4,7
a74302c02d220e3663fcad5836cb90607fc2d006,Bump undici from 6.21.2 to 6.23.0 in /compiler (#35512),1,9
bae6dd09fb9b08fc4387a9f649d9d1ef9ad1a9e6,Bump qs from 6.4.0 to 6.4.1 in /fixtures/packaging/webpack-alias/dev (#35505),1,9
96005e445c4c6df5f222cc62d0327d4a389c339f,Bump qs from 6.4.0 to 6.4.1 in /fixtures/packaging/webpack/prod (#35432),1,9
b5f01787949b3619ef178a2574b54e2c1043910d,Bump jws from 3.2.2 to 3.2.3 (#35373),1,7
7b5b561bd2dda205ed8f397864379003b707d4ae,"[DevTools] Ignore new production renderers if we already use ""worse"" versions of React on a page (#35994)",6,17
014138df87869b174956f90a33fd6cf66e160114,[DevTools] Fix a crash when rendering a new class Component when simulating errored state (#35985),3,15
4610359651fa10247159e2050f8ec222cb7faa91,[DevTools] Fix null ref crash in ContextMenu when items list is empty (#35929),2,13
93882bd40ee48dc6d072dfc0b6cc7801fac1be31,[errors] s/form state/action state (#35790),3,5
3bc2d414287e62a7b74731c6c7b837270353a339,[noop] Fix `createContainer` argument order in the Fiber implementation (#35945),12,10
5e4279134dbc29116407a5ec515e74e2c0ae5018,[noop] Typecheck `react-noop-renderer` against host config and renderer API (#35944),21,10
ee4699f5a1833bd12701d21556f36376d6ebad8b,[noop] Fail tests on unasserted recoverable errors (#35948),4,8
23b2d8514f13f109b980b0a1f4f3aab906ad51d0,[DevTools] Don't connect to pages that are being prerendered (#35958),2,10
4b568a8dbb4cb84b0067f353b9c0bec1ddb61d8e,[DevTools] Improve type coverage for extension runtime API (#35957),3,9
9c0323e2cf9be543d6eaa44419598af56922603f,Stabilize reactFragments host node handle (#35642),3,6
e6f1c33acf81d9865863ab149d24726f43a56db0,[Fiber] Don't warn when rendering data block scripts (#35953),2,9
4cc5b7a90bac7e1f8ac51a9ac570d3ada3bddcb3,Add support for event information in React scheduler tracks in React Native (#35947),1,13
aac12ce597b49093a5add54b00deee3d8980f874,[DevTools] chore: extract pure functions from fiber/renderer.js (#35924),7,8
93a3935d0292d66e0bf426a7e28bb1433bbeea30,[DevTools] Only schedule a single update per Supense when changing timeline (#35927),6,12
e0cc7202e14418b453c69c4f06dc00c64151f202,[flags] Clean up `enableHiddenSubtreeInsertionEffectCleanup` (#35918),13,5
843d69f077032064798f94b419a22ab5f35f5a6c,[react-dom] Support `maskType` SVG prop (#35921),2,6
b4a8d298450fd1fd274445fe8554e5fc18c5e12c,fix: remove unused variable to fix linter (#35919),1,8
6b113b7bd11f7fa432a0a8f9375013d30c884494,[compiler] Deduplicate errors between ValidateExhaustiveDependencies and ValidatePreservedManualMemoization (#35917),9,8
98ce535fdb6ff559a5dd76b58c1bcaa983804957,[RN] Expose event as a global variable during dispatch (#35913),2,10
a48e9e3f10fed06c813399ccae8a28db7dd76683,[RN] Fix timeStamp property of SyntheticEvent in React Native (#35912),2,10
074d96b9dd57ea748f2e869959a436695bbc88bf,[flags] land `enableTrustedTypesIntegration` (#35816),8,4
e33071c6142ae5212483a63b87d5d962860e535a,[compiler] Improved ref validation for non-mutating functions (#35893),8,8
c0060cf2a695d719152c939cfc3cced8f7da3e52,[DevTools] Enable support for the React DevTools Client to connect to different host/port/path  (#35886),6,14
bd76b456c127222f59888953348d40cf8f03e3a0,[DevTools] Fix ReactDevToolsBackend module for AMD (#35891),2,7
b354bbd2d231fdeeec31d438c8e7c54877eee4ac,"[compiler] Update docs with fault tolerance summary, remove planning doc (#35888)",3,11
c92c57971541915a69ad23abe9fdd14ac56b3975,"[compiler] Fix Pipeline.ts early-exit, formatting, and style issues (#35884)",1,9
011cede06811927e46147fa77f2581c3119f42b8,[compiler] Rename mismatched variable names after type changes (#35883),1,9
2e0927dc70d75563192156aa3d504f5e14d3d0c7,"[compiler] Remove local CompilerError accumulators, emit directly to env.recordError() (#35882)",16,10
9075330979bb9eeec7c29b80fbab6048154c8f1f,"[compiler] Remove tryRecord, add catch-all error handling, fix remaining throws (#35881)",19,11
8a33fb3a1cd6a8230cb9c49f4cda71f8d21c8476,[compiler] Cleanup: consistent tryRecord() wrapping and error recording (#35880),6,9
cebe42e24521ce02bf427fd482009d01e1466277,[compiler] Add fault tolerance test fixtures (#35879),11,7
d6558f36e2f1de6d0504de0fc6ed2f4f621aa655,[compiler] Phase 3: Make lower() always produce HIRFunction (#35878),10,9
59d7c27087fae2b7abbb360187b473068c4bcaaa,[compiler] Phase 8: Add multi-error test fixture and update plan (#35877),3,11
9b2d8013eed2b02193aebc37a614b37853ada214,"[compiler] Phase 4 (batch 2), 5, 6: Update remaining passes for fault tolerance (#35876)",12,14
e3e5d95cc457eb1ba54431bc95604aa931fc6adf,[compiler] Phase 4 (batch 1): Update validation passes to record errors on env (#35875),12,14
426a394845e3e471c020543f3560046c74549c13,[compiler] Phase 2+7: Wrap pipeline passes in tryRecord for fault tolerance (#35874),26,12
eca778cf8bf88b2a62a5244f94a0084593ffbf14,[compiler] Phase 1: Add error accumulation infrastructure to Environment (#35873),2,10
0dbb43bc57d27a79ecf4c78508089a36bd08ef5d,[compiler] Add fault tolerance plan document (#35872),1,7
8b6b11f703a1f92dd2bb2e0e3b93a1836dc06de6,[compiler] Remove fallback compilation pipeline dead code (#35827),6,8
ab18f33d46171ed1963ae1ac955c5110bb1eb199,Fix context propagation through suspended Suspense boundaries (#35839),3,8
b16b768fbd95fff334b15d36b8f141010d68869e,[compiler] Feature flag cleanup (#35825),310,5
2ba3065527cbabc9778363e78a411653cd4cd215,[Flight] Add support for transporting `Error.cause` (#35810),4,7
38cd020c1fb8a1e88b7852160796f411926a6fac,Don't outline Suspense boundaries with suspensey CSS during shell flush (#35824),6,11
f247ebaf44317ac6648b62f99ceaed1e4fc4dc01,[Flight] Walk parsed JSON instead of using reviver for parsing RSC payload (#35776),2,13
3a2bee26d23a21cfb04313372a0c0ca46101b785,[DevTools] Fix alignment of breadcrumbs separator (#35817),2,7
4842fbea02c48fa5cfcb28eb6ceaec12f6f41a45,[react-dom] Add support for `onFullscreenChange` and `onFullscreenError` events (#34621),4,9
61db53c179a80a40beec3cc220da05bfdbb02efd,[Native] Add RCTSelectableText as a recognized Text component (#35780),2,9
4ac47537dda5f370dffa185a2e26f8301bf73d45,[compiler] Track locations for dependencies (#35794),11,6
47d1ad1454759859c5a2b29616658e10a1ce049f,[Flight] Skip `transferReferencedDebugInfo` during debug info resolution (#35795),2,8
e8c6362678c8bc86a02b8444d2c3f597b3dc4e22,[eslint-plugin-react-hooks] Add ESLint v10 support (#35720),8,6
03ca38e6e7b84cf20438c1d333636b3d662ca726,[DevTools] Check suspense child node presence in parentSuspense.children before removing (#35775),1,11
6066c782fe06b65e98a410741d994f620321fe11,[DevTools] Dedicated empty state for roots that aren't suspended by anything (#35769),1,12
705055d7ac3da03927758b22d8aea4b2e5913961,[DevTools] Enable Suspense tab by default (#35768),5,7
8374c2abf13fa803233025192b8d7e87de70b087,[DevTools] Remove experimental __IS_INTERNAL_MCP_BUILD__ flag and related code (#35755),9,9
892c68605c46af0558cdd546782f23ad120ad0d4,[fiber] bugfix - don't show <Offscreen> in error message. (#35763),2,10
cd515d7e22636238adef912356f522168946313d,Minor DOM FragmentInstance refactors (#35641),1,5
78f5c504b732aec0eb12514bc2cf3f27a8143dd2,Notify FragmentInstance of added/removed text (#35637),4,6
e49335e961a77a45be32ad6c9c1877cbe2fe91f4,[DevTools] Display `React.optimisticKey` in key positions (#35760),2,7
57b79b0388b755096216b2b5308113e54eac3be8,[DevTools] Only block child Suspense boundaries if the parent has all shared suspenders removed (#35737),2,15
70890e7c58abccef35a6498f7ee702d608be79d6,"Consistent handling of work tags for rename, delete, and overriding state (#35740)",1,12
f23aa1d9f5034e7cfbd3e6015ce102bb72a005a0,[DevTools] Fix memory leak when unmounting hoistables (#35741),2,8
49c3b270f9991fbecbe2b9c29c27e19a54fb4466,[test] Include `uniqueSuspenders` in Suspense tree snapshots (#35736),5,8
c6bb26bf833c5d91760daf28fa2750b81067ac30,[DevTools] Don't capture durations for disconnected subtrees when profiling (#35718),2,10
6a939d0b54a0e1aded58652a307cfc083b691d67,[DevTools] Allow renaming Host Component props (#35735),2,7
4c9d62d2b47be424ad9050725d8bdd8df12fe2a3,"[DevTools] Fix crash when revealing stable, filtered `<Activity>` children (#35734)",2,10
24f215ce8b0e17a230fbb7317919a6ae0c324f35,[DevTools] Fix false-positive re-render reports for filtered nodes (#35723),2,9
eab523e2a99583703b13536670dfdd8a3b1e26e0,[Fiber] Avoid duplicate debug info for array children (#35733),3,9
272441a9ade6bf84de11ba73039eb4c80668fa6a,[Flight] Add `unstable_allowPartialStream` option to Flight Client (#35731),17,8
b07aa7d643ec9028e452612c3ff2c17a6cee6bb7,[Flight] Fix `encodeReply` for JSX with temporary references (#35730),4,9
2dd9b7cf76c31df5d7e26e5199e3c362c3e94f95,[Flight] Fix debug channel flag in Node.js server renderToPipeableStream (#35724),3,10
65db1000b944c8a07b5947c06b38eb8364dce4f2,[test] Move profilingCommitTreeBuilder to versioned renderer (#35711),1,7
2a879cdc95228b1b3b4cdc81cfc04599716b5562,[DevTools] Fix broken commit tree builder for initial operations (#35710),5,10
9a5996a6c144b4d6950b840f2098eff0117b5ac2,[flags] Cleanup `enableHalt` (#35708),20,4
1c66ac740c650083f008805ed605e8826832dd4c,[DevTools] Separate breadcrumbs with `»` (#35705),4,6
8b276df415a29bee586473bfced9191b25166790,[DevTools] Avoid scrollbars in Suspense breadcrumbs (#35700),4,7
95ffd6cd9c794842e5c8ab36150296afab1ae70c,Disable parallel transitions in canary (#35709),1,6
b9323509be66759201c6a752233370970c2a613f,[DevTools] Throw an error when attempting to clone non-existent node (#35702),1,11
bb53387716e96912cbfb48d92655bc23882798ff,[DevTools] Shrink/Deshrink Owners breadcrumbs on any resizes (#35694),1,8
3aaab92a265ebeb43b15e7c30c2f1dfb9fcd5961,[flags] add enableEffectEventMutationPhase (#35548),12,4
087a34696f1eb484157b19aee1648bcbce51de64,[test] add activity test with gSBU and enableViewTransition bugfix (#35555),1,10
6913ea4d28229d066603bff9fc1170334e151a4a,[flags] Add `enableParallelTransitions` (#35392),12,4
cf993fb457417e0f20535b1fd42c3f45df966583,[Flight] Fix stack overflow in `visitAsyncNode` with deep async chains (#35612),2,11
c137dd6f5484f1bb68a64f07dd0e40d474a29759,Fix exhaustive deps bug with flow type casting. (#35691),2,9
22a20e1f2f557b99115d82b639ff5a32b6453cb6,[compiler] Fix setState-in-effect for React.useEffect namespace calls (#35377) (#35419),3,9
90c6d1b218bbe07eeb757ce8777805a9b7f8e3c3,[compiler][snap] More minimization improvements (#35689),1,5
f84ce5a45c47b1081a09c17eea58c16ef145c113,[flags] Turn on `enableViewTransition` in OSS `react-test-renderer` (#35684),1,8
c9ff56ec74393373dbe0f58c3e24d1846b469317,[DevTools] Disable Activity slices by default (#35685),6,7
3ce1316b05968d2a8cffe42a110f2726f2c44c3e,[compiler][snap] Fixes to relative path resolution; compile subcommand (#35688),9,9
cd0c4879a2959db91f9bd51a09dafefedd95fb17,[compiler] Fix `for` loops in try/catch (#35686),24,7
6853d7ab2f73989f31fb5a8ed652bd58225ead26,[Perf Tracks] Prevent crash when accessing `$$typeof` (#35679),2,8
e32c1261219a9d665f392a4799b8a24ea326f1a1,[flags] Turn on `enableAsyncDebugInfo` everywhere (#35683),7,6
3e00319b352092949ba146e70829310fe6362062,[Flight] allow context providers from client modules (#35675),9,8
3419420e8b8415c80ead82e4d95f0a039380aee5,[flags] Cleanup `enableActivity` (#35681),17,4
b1533b034ee5e38e825fe20d789f2e83ede163ad,[Flight] Allow overriding `request.timeOrigin` via `options.startTime` (#35598),15,7
5dad2b47b87d93db51f3bd41453a39124127b75d,[DevTools] Fix commit index reset when switching profiler roots (#35672),2,10
748ee74e22ab86994c12564a19fc73950d00ad72,Use modern JSX runtime in Flight fixture (#35677),9,8
d4a325df4dbc595cceede81555dd177fc791e8e1,[compiler] Add snap subcommand to minimize a test input (#35663),4,10
7b023d7073aa700b48674ae1985235b8c4755880,[react-dom] Include `submitter` in `submit` events (#35590),4,7
dcab44d757dee6fa8d40db56715732e891a3b729,[react-dom] Fire onReset when automatically resetting forms (#35176),4,8
b8a6bfa22c8cfc11863f2373fde44ae36695cd0b,[compiler] Support optional/logical/etc within try/catch (#35606),30,6
ed4bd540ca67f1c4db65f009ad726a5ae1a0af01,[Flight] Warn once if `eval` is disabled in dev environment (#35661),26,11
64b4605cb82367fa78a08b99bbee1c800e6af21a,[compiler] fix source location for return statements (#35660),229,8
da64117876002bd60baa9e93cad77421bbf0293f,[Perf Tracks] Handle function names that aren't strings (#35659),1,9
230772f99dac80be6dda9c59441fb4928612f18e,[tests] Fix ReactDOMAttribute-test (#35654),2,4
90b2dd442cc05048b2a6ade5020c463ab0499eca,Add additional fixtures for FragmentInstance text node support (#35631),7,9
875b06489f4436125613535dfe0833cd12a500f9,Add text node support to FragmentInstance operations (#35630),17,8
d4d099f05bead14cc78787f97f005b00feae56f9,[flags] make `enableTrustedTypesIntegration` dynamic (#35646),8,5
c0c37063e2cd8976d839998573012d48d303ada0,"[Flight] Restore original function name in dev, server callstacks served with `unsafe-eval` (#35650)",2,13
87ae75b33f71eb673c55ddb3a147a9e58b7d05bd,[Perf Tracks] Use minus (`-`) instead of en dash for removed props (#35649),2,13
ff191f24b5f49252672ac4d3c46ef1e79cf7290d,[Perf Tracks] Handle arrays with bigints in deep objects (#35648),2,10
e66ef6480ecd19c6885f2c06dec34fec1fdc0a98,[tests] remove withoutStack from assertConsole helpers (#35498),43,7
8c34556ca8df0dab34bbaf68e0dd15cd4a5e3f7f,[Flight] Fix react-markup types for server references (#35634),2,8
10680271fab565e0edf948d3a6dc9d30e83df94c,"[Flight] Add more DoS mitigations to Flight Reply, and harden Flight (#35632)",18,12
699abc89cea33d5aa0b443050ae27c2fea7cb3cb,[flags] make enableComponentPerformanceTrack static everywhere (#35629),4,6
3e319a943cff862b8fbb8e96868f9f153a9e199d,[DevTools] Apply component filters on initial load (#35587),15,8
2c30ebc4e397d57fe75f850e32aa44e353052944,[DevTools] Update inspected element on component filter changes (#35599),1,9
a0566250b210499b4c5677f5ac2eedbd71d51a1b,[repo] init claude config (#35617),11,5
870cccd656bc0188c04ef8b53e8f7f1b78d486d9,[compiler] Summaries of the compiler passes to assist agents in development (#35595),57,12
c3b95b0979757edb9507a7b0c80fc220a96330b3,[compiler] Improve snap workflow for debugging errors (#35539),2,8
006ae379727ebceb82d03929222a71104d01135f,"[compiler] Collapse CompilerError.{invariant,simpleInvariant} (#35614)",72,4
a688a3d18cfd911bf9c5e6a7ddc1af7c061b9653,worktree script improvements (#35603),2,4
2c8725fdfd13705487d13dce008d62c605cd7f73,"[compiler] snap fails if nothing compiled, unless @expectNothingCompiled (#35615)",59,9
03613cd68c9e1d7ec5cb1eceb91f27f1935a7b8b,[compiler] Improve snap usability (#35537),4,5
2af6822c2108eabc0228d7809aa27c00bb2ebb53,[compiler] Claude file/settings (#35523),3,4
24d8716e366909129ffd66670e1e530e6796097d,Gitignore local Claude files (#35610),1,5
94913cbffeff60c862ef818ca62cdc329dc2fd57,[flags] cleanup renameElementSymbol (#35600),14,4
2d8e7f1ce358e8cddc3aae862007269b6bac04ba,[flags] Remove enableHydrationLaneScheduling (#35549),10,4
6a0ab4d2dd62dfdf8881ba1c3443c6d5acedc871,Add worktree script (#35593),2,4
03ee29da2f3a7dcd1a7a22ed9b4d13eeceb9da57,[eslint-plugin-react-hooks] Skip compilation for non-React files (#35589),4,7
cdbd55f44004cf77a61c178952e34d4514414519,Type `react-devtools-hook-installer` and `react-devtools-hook-settings-injector` messages (#35586),8,6
b546603bcb309a52343fd6a7b8751145205f8ac1,[Fiber] getNearestMountedFiber should consider fibers with alternates as mounted (#35578),1,10
7fccd6b5a344d9d2603392c354c4b471cd2b2cef,[DevTools] Fix console links not being openable (#35229),1,8
d29087523a09d2babff2ce258f3527944a0ecd2e,Cancel animation when a custom Timeline is used (#35567),2,9
d343c39cce2909d65a46ffe9fc5270bfad98c4b9,Remove Gesture warning when cloning the root (#35566),2,8
1ecd99c774131a6e5c689ee6fe38236e2032f693,Temporarily Mount useInsertionEffect while a Gesture snapshot is being computed (#35565),3,11
c55ffb5ca3b2ba3a09a978629d5a1548c0e8085b,Add Clean Up Callbacks to View Transition and Gesture Transition Events (#35564),10,12
a49952b303a646c17f4d667956639300840a3e5b,Properly clean up gesture Animations (#35559),1,6
4bcf67e74657086ff7d8f951d6365db06cf1f72c,Support onGestureEnter/Exit/Share/Update events (#35556),5,4
41b3e9a67004eb42631a9ff4504c56d22e2f97f0,[Fizz] Push a stalled use() to the ownerStack/debugTask (#35226),4,9
195fd2286bcc3286859651d6709e5ae5a250335b,[tests] Fix flaky flight tests (#35513),2,6
d87298ae166b84cf6fcc8f9dbc25d2e320309841,[tests] add silent reporter (#35547),3,5
be3fb29904a23322bd3cef7752df517fabdc188a,[internal] revert change merged accidentally (#35546),12,6
23e5edd05c1f89dc7a23452afabd02003c225858,[flags] clean up enableUseEffectEventHook (#35541),17,5
3926e2438fd65a0fb2c7807b5a633ba147408ab9,Fix ViewTransition null stateNode with SuspenseList (#35520),2,7
6baff7ac763c475087ab5ebf7eef5d0b9f4436df,[Flight] Allow cyclic references to be serialized when unwrapping lazy elements (#35471),2,12
bef88f7c115536b534f532f8b03c55e3697486c7,[DevTools] Stop setting unused global variables (#35532),3,7
01c4d03d841b2695bf889ddeddc722b65f82031a,[DevTools] Clear element inspection if host element not owned by any renderer is selected (#35504),5,15
cbc4d4066333cb1a6736b93df4e0b5ff5936c849,Typecheck React DevTools extension main script (#35519),3,7
db71391c5c70dc113560d1c23d0b6548604d827f,[Fiber] Instrument the lazy initializer thenable in all cases (#35521),2,10
4cf906380d5d3282f1df3c8c34cf642e86a3a0a3,Optimize gesture by allowing the original work in progress tree to be a suspended commit (#35510),4,16
eac3c9553708cbf53a0c148b45e1de1ab6f84b12,Defer useDeferredValue updates in Gestures (#35511),1,6
35a81cecf7d5be11dbf589575b1c93fdf224ba4a,Entangle Gesture revert commit with the corresponding Action commit (#35487),2,10
4028aaa50c92f1a546cd1aeac421bfabd66bef68,Commit the Gesture lane if a gesture ends closer to the target state (#35486),6,14
f0fbb0d199c166a634084c66a7cf9486ebb64bc1,[Fiber] fix useId tracking on replay (#35518),2,7
bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a,[DevTools] Show fallback in inspected element pane when no element is selected (#35503),7,13
fae15df40ef878fda68756176d501a4cb83cc9bc,[DevTools] Add React Element pane to browser Elements panel (#35240),7,10
53daaf5aba1827c2f6c6e01ae1318c36f5a1902e,Improve the detection of changed hooks (#35123),4,7
4a3d993e52fd6bcadd9c3029c75df3c22684f69c,Add the suffix to cancelled view transition names (#35485),1,9
